,job_type,employment,race,exemption_exempt,exemption_non-exempt,ethnicity_no,ethnicity_yes,gender_female,gender_male,affiliation_AAM,affiliation_AAMD
143,9,3,3,0,0,0,0,1,0,0,1
144,9,6,1,0,0,0,0,1,0,0,1
145,9,5,1,0,0,0,0,1,0,0,1
146,9,5,1,0,0,0,0,1,0,0,1
147,9,3,4,0,0,0,0,0,1,0,1
148,9,4,3,0,0,0,0,1,0,0,1
149,9,1,2,0,0,0,0,0,1,0,1
151,9,1,2,0,0,0,0,0,1,0,1
152,9,1,1,0,0,0,0,0,1,0,1
153,9,1,1,0,0,0,0,0,1,0,1
154,9,1,1,0,0,0,0,0,1,0,1
155,9,5,1,0,0,0,0,1,0,0,1
156,9,4,1,0,0,0,0,1,0,0,1
158,9,4,1,0,0,0,0,1,0,0,1
159,9,5,1,0,0,0,0,0,1,0,1
160,9,6,1,0,0,0,0,1,0,0,1
161,9,4,1,0,0,0,0,1,0,0,1
162,9,1,1,0,0,0,0,0,1,0,1
163,9,4,1,0,0,0,0,0,1,0,1
164,9,5,1,0,0,0,0,0,1,0,1
166,9,4,1,0,0,0,0,1,0,0,1
167,9,4,3,0,0,0,0,1,0,0,1
168,9,4,1,0,0,0,0,1,0,0,1
169,9,4,3,0,0,0,0,1,0,0,1
170,9,1,2,0,0,0,0,0,1,0,1
171,9,6,1,0,0,0,0,1,0,0,1
172,9,1,2,0,0,0,0,0,1,0,1
173,9,5,3,0,0,0,0,1,0,0,1
174,9,4,3,0,0,0,0,1,0,0,1
177,9,5,3,0,0,0,0,1,0,0,1
178,9,1,3,0,0,0,0,1,0,0,1
180,9,5,3,0,0,0,0,1,0,0,1
181,9,4,3,0,0,0,0,1,0,0,1
182,9,4,1,0,0,0,0,1,0,0,1
183,9,4,3,0,0,0,0,1,0,0,1
184,9,5,5,0,0,0,0,0,1,0,1
185,9,4,3,0,0,0,0,1,0,0,1
187,9,4,1,0,0,0,0,1,0,0,1
188,9,4,3,0,0,0,0,1,0,0,1
189,9,6,3,0,0,0,0,1,0,0,1
190,9,5,2,0,0,0,0,1,0,0,1
191,9,5,5,0,0,0,0,1,0,0,1
192,9,5,1,0,0,0,0,0,1,0,1
193,9,4,1,0,0,0,0,1,0,0,1
195,9,5,5,0,0,0,0,1,0,0,1
196,9,1,4,0,0,0,0,1,0,0,1
197,9,4,1,0,0,0,0,1,0,0,1
198,9,4,1,0,0,0,0,0,1,0,1
199,9,5,1,0,0,0,0,1,0,0,1
200,9,4,1,0,0,0,0,1,0,0,1
201,9,5,1,0,0,0,0,0,1,0,1
202,9,1,4,0,0,0,0,0,1,0,1
204,9,4,3,0,0,0,0,1,0,0,1
205,9,4,1,0,0,0,0,1,0,0,1
206,9,4,1,0,0,0,0,1,0,0,1
207,9,6,1,0,0,0,0,1,0,0,1
208,9,4,1,0,0,0,0,0,1,0,1
209,9,4,1,0,0,0,0,1,0,0,1
210,9,5,1,0,0,0,0,1,0,0,1
211,9,4,1,0,0,0,0,1,0,0,1
213,9,5,1,0,0,0,0,0,1,0,1
214,9,5,3,0,0,0,0,0,1,0,1
215,9,4,1,0,0,0,0,0,1,0,1
216,9,1,1,0,0,0,0,1,0,0,1
217,9,5,1,0,0,0,0,0,1,0,1
218,9,4,1,0,0,0,0,0,1,0,1
219,9,1,1,0,0,0,0,0,1,0,1
220,9,5,5,0,0,0,0,0,1,0,1
221,9,1,1,0,0,0,0,0,1,0,1
222,9,4,3,0,0,0,0,1,0,0,1
223,9,5,3,0,0,0,0,1,0,0,1
224,9,4,1,0,0,0,0,1,0,0,1
226,9,4,5,0,0,0,0,1,0,0,1
227,9,1,1,0,0,0,0,0,1,0,1
228,9,4,3,0,0,0,0,1,0,0,1
229,9,4,1,0,0,0,0,1,0,0,1
230,9,1,1,0,0,0,0,0,1,0,1
231,9,1,4,0,0,0,0,0,1,0,1
232,9,5,2,0,0,0,0,0,1,0,1
233,9,5,1,0,0,0,0,1,0,0,1
235,9,1,1,0,0,0,0,0,1,0,1
236,9,5,1,0,0,0,0,0,1,0,1
237,9,1,3,0,0,0,0,0,1,0,1
238,9,5,3,0,0,0,0,1,0,0,1
239,9,4,1,0,0,0,0,0,1,0,1
240,9,1,1,0,0,0,0,1,0,0,1
241,9,6,1,0,0,0,0,1,0,0,1
242,9,5,1,0,0,0,0,0,1,0,1
243,9,1,3,0,0,0,0,0,1,0,1
244,9,5,1,0,0,0,0,1,0,0,1
245,9,4,1,0,0,0,0,1,0,0,1
246,9,4,3,0,0,0,0,0,1,0,1
247,9,5,3,0,0,0,0,1,0,0,1
248,9,4,3,0,0,0,0,1,0,0,1
249,9,5,3,0,0,0,0,0,1,0,1
250,9,5,3,0,0,0,0,0,1,0,1
252,9,4,1,0,0,0,0,1,0,0,1
253,9,1,3,0,0,0,0,0,1,0,1
254,9,1,3,0,0,0,0,0,1,0,1
255,9,4,1,0,0,0,0,1,0,0,1
261,7,1,1,1,0,1,0,1,0,1,0
262,4,1,1,1,0,1,0,0,1,1,0
263,6,1,1,1,0,1,0,0,1,1,0
264,2,1,1,1,0,1,0,1,0,1,0
265,7,1,1,1,0,1,0,1,0,1,0
266,2,1,1,1,0,1,0,0,1,1,0
267,1,1,1,1,0,1,0,1,0,1,0
268,13,1,1,1,0,1,0,1,0,1,0
332,7,1,1,1,0,1,0,1,0,1,0
333,1,1,1,1,0,1,0,1,0,1,0
334,1,1,1,1,0,1,0,1,0,1,0
335,2,1,1,1,0,1,0,1,0,1,0
336,5,1,5,1,0,0,1,0,1,1,0
337,11,1,1,1,0,1,0,1,0,1,0
338,5,1,1,0,1,1,0,1,0,1,0
339,3,1,1,0,1,1,0,0,1,1,0
340,8,1,1,0,1,1,0,1,0,1,0
341,8,1,1,0,1,1,0,0,1,1,0
342,7,1,1,0,0,1,0,1,0,1,0
343,1,1,1,0,1,1,0,1,0,1,0
344,7,1,1,1,0,0,1,0,1,1,0
345,14,1,1,0,1,0,1,1,0,1,0
346,7,1,1,1,0,1,0,0,1,1,0
347,7,1,1,1,0,1,0,1,0,1,0
348,12,1,1,0,1,1,0,1,0,1,0
349,15,6,1,0,1,0,1,0,1,1,0
350,1,1,1,1,0,1,0,0,1,1,0
351,1,1,1,1,0,1,0,0,1,1,0
352,1,1,1,1,0,1,0,1,0,1,0
353,1,1,1,0,1,1,0,0,1,1,0
354,16,1,1,0,1,1,0,0,1,1,0
355,16,1,6,0,1,1,0,1,0,1,0
356,16,1,1,0,1,1,0,0,1,1,0
357,2,1,1,1,0,1,0,0,1,1,0
358,1,1,1,0,1,1,0,1,0,1,0
359,1,1,1,0,1,1,0,1,0,1,0
360,1,7,1,1,0,0,1,0,1,1,0
361,7,1,1,1,0,1,0,1,0,0,1
362,7,1,1,1,0,1,0,0,1,0,1
363,2,1,1,1,0,1,0,1,0,0,1
364,2,1,3,1,0,1,0,1,0,0,1
365,2,7,1,0,1,1,0,0,1,0,1
366,1,1,1,1,0,1,0,1,0,0,1
367,14,1,1,1,0,1,0,0,1,0,1
368,4,1,1,1,0,1,0,1,0,0,1
369,4,7,2,0,1,1,0,0,1,0,1
370,6,3,1,0,1,1,0,1,0,0,1
371,6,3,1,0,1,1,0,1,0,0,1
372,6,3,1,0,1,1,0,1,0,0,1
373,6,3,1,0,1,1,0,0,1,0,1
374,6,3,1,0,1,1,0,0,1,0,1
375,6,3,1,0,1,1,0,0,1,0,1
376,5,1,1,1,0,0,1,0,1,0,1
377,5,1,1,1,0,0,1,1,0,0,1
378,5,2,3,1,0,1,0,1,0,0,1
379,5,7,2,0,1,1,0,1,0,0,1
380,5,7,1,0,1,1,0,1,0,0,1
381,5,7,1,0,1,1,0,1,0,0,1
382,12,1,1,1,0,1,0,1,0,0,1
383,12,1,1,1,0,1,0,1,0,0,1
384,12,1,1,1,0,1,0,1,0,0,1
385,12,1,1,1,0,1,0,1,0,0,1
386,12,7,1,0,1,1,0,1,0,0,1
387,12,7,3,0,1,1,0,1,0,0,1
388,11,1,1,1,0,1,0,1,0,0,1
389,11,1,1,1,0,1,0,0,1,0,1
390,11,1,3,0,1,1,0,1,0,0,1
391,11,7,2,0,1,1,0,1,0,0,1
392,11,7,1,0,1,1,0,0,1,0,1
393,3,1,1,0,1,1,0,0,1,0,1
394,8,1,2,1,0,1,0,1,0,0,1
395,8,7,1,0,1,1,0,1,0,0,1
396,8,1,2,1,0,1,0,1,0,0,1
397,8,1,1,0,1,1,0,1,0,0,1
398,8,1,2,0,1,1,0,0,1,0,1
399,8,1,1,0,1,1,0,0,1,0,1
400,8,1,1,0,1,1,0,1,0,0,1
401,8,1,1,0,1,1,0,1,0,0,1
402,8,1,1,0,1,1,0,1,0,0,1
403,8,1,2,0,1,1,0,1,0,0,1
404,8,1,1,0,1,1,0,1,0,0,1
405,17,1,2,0,1,1,0,0,1,0,1
406,10,5,6,0,0,0,0,1,0,0,1
407,18,5,3,0,0,0,0,1,0,0,1
408,14,5,3,0,0,0,0,1,0,0,1
409,18,5,3,0,0,0,0,1,0,0,1
410,5,5,3,0,0,0,0,1,0,0,1
411,11,5,3,0,0,0,0,1,0,0,1
412,18,5,3,0,0,0,0,1,0,0,1
413,1,5,3,0,0,0,0,1,0,0,1
414,1,5,3,0,0,0,0,1,0,0,1
415,16,5,3,0,0,0,0,1,0,0,1
416,12,5,3,0,0,0,0,1,0,0,1
417,13,5,3,0,0,0,0,1,0,0,1
418,5,5,3,0,0,0,0,1,0,0,1
419,1,5,3,0,0,0,0,1,0,0,1
420,10,5,3,0,0,0,0,1,0,0,1
421,6,5,3,0,0,0,0,0,1,0,1
422,1,5,3,0,0,0,0,0,1,0,1
423,14,5,2,0,0,0,0,1,0,0,1
424,3,5,2,0,0,0,0,1,0,0,1
425,5,5,2,0,0,0,0,1,0,0,1
426,6,5,2,0,0,0,0,1,0,0,1
427,1,5,2,0,0,0,0,1,0,0,1
428,11,5,2,0,0,0,0,1,0,0,1
429,12,5,2,0,0,0,0,1,0,0,1
430,1,5,2,0,0,0,0,1,0,0,1
431,16,5,2,0,0,0,0,1,0,0,1
432,1,5,2,0,0,0,0,1,0,0,1
433,1,5,2,0,0,0,0,1,0,0,1
434,1,5,2,0,0,0,0,1,0,0,1
435,2,5,2,0,0,0,0,0,1,0,1
436,3,5,2,0,0,0,0,0,1,0,1
437,16,5,2,0,0,0,0,0,1,0,1
438,3,5,2,0,0,0,0,0,1,0,1
439,7,5,1,0,0,0,0,1,0,0,1
440,2,5,1,0,0,0,0,1,0,0,1
441,2,5,1,0,0,0,0,1,0,0,1
442,7,5,1,0,0,0,0,1,0,0,1
443,2,5,1,0,0,0,0,1,0,0,1
444,2,5,1,0,0,0,0,1,0,0,1
445,11,5,1,0,0,0,0,1,0,0,1
446,4,5,1,0,0,0,0,1,0,0,1
447,2,5,1,0,0,0,0,1,0,0,1
448,6,5,1,0,0,0,0,1,0,0,1
449,10,5,1,0,0,0,0,1,0,0,1
450,2,5,1,0,0,0,0,1,0,0,1
451,2,5,1,0,0,0,0,1,0,0,1
452,14,5,1,0,0,0,0,1,0,0,1
453,12,5,1,0,0,0,0,1,0,0,1
454,6,5,1,0,0,0,0,1,0,0,1
455,2,5,1,0,0,0,0,1,0,0,1
456,14,5,1,0,0,0,0,1,0,0,1
457,5,5,1,0,0,0,0,1,0,0,1
458,19,5,1,0,0,0,0,1,0,0,1
459,4,5,1,0,0,0,0,1,0,0,1
460,6,5,1,0,0,0,0,1,0,0,1
461,6,5,1,0,0,0,0,1,0,0,1
462,4,5,1,0,0,0,0,1,0,0,1
463,10,5,1,0,0,0,0,1,0,0,1
464,1,5,1,0,0,0,0,1,0,0,1
465,5,5,1,0,0,0,0,1,0,0,1
466,12,5,1,0,0,0,0,1,0,0,1
467,18,5,1,0,0,0,0,1,0,0,1
468,18,5,1,0,0,0,0,1,0,0,1
469,18,5,1,0,0,0,0,1,0,0,1
470,6,5,1,0,0,0,0,1,0,0,1
471,2,5,1,0,0,0,0,1,0,0,1
472,11,5,1,0,0,0,0,1,0,0,1
473,12,5,1,0,0,0,0,1,0,0,1
474,16,5,1,0,0,0,0,1,0,0,1
475,12,5,1,0,0,0,0,1,0,0,1
476,5,5,1,0,0,0,0,1,0,0,1
477,2,5,1,0,0,0,0,1,0,0,1
478,1,5,1,0,0,0,0,1,0,0,1
479,2,5,1,0,0,0,0,1,0,0,1
480,6,5,1,0,0,0,0,1,0,0,1
481,16,5,1,0,0,0,0,1,0,0,1
482,18,5,1,0,0,0,0,1,0,0,1
483,12,5,1,0,0,0,0,1,0,0,1
484,2,5,1,0,0,0,0,1,0,0,1
485,11,5,1,0,0,0,0,1,0,0,1
486,5,5,1,0,0,0,0,1,0,0,1
487,5,5,1,0,0,0,0,1,0,0,1
488,5,5,1,0,0,0,0,1,0,0,1
489,5,5,1,0,0,0,0,1,0,0,1
490,16,5,1,0,0,0,0,1,0,0,1
491,15,5,1,0,0,0,0,1,0,0,1
492,18,5,1,0,0,0,0,1,0,0,1
493,2,5,1,0,0,0,0,1,0,0,1
494,10,5,1,0,0,0,0,1,0,0,1
495,10,5,1,0,0,0,0,1,0,0,1
496,10,5,1,0,0,0,0,1,0,0,1
497,2,5,1,0,0,0,0,1,0,0,1
498,10,5,1,0,0,0,0,1,0,0,1
499,2,5,1,0,0,0,0,1,0,0,1
500,2,5,1,0,0,0,0,1,0,0,1
501,1,5,1,0,0,0,0,1,0,0,1
502,1,5,1,0,0,0,0,1,0,0,1
503,4,5,1,0,0,0,0,0,1,0,1
504,10,5,1,0,0,0,0,0,1,0,1
505,6,5,1,0,0,0,0,0,1,0,1
506,10,5,1,0,0,0,0,0,1,0,1
507,15,5,1,0,0,0,0,0,1,0,1
508,10,5,1,0,0,0,0,0,1,0,1
509,6,5,1,0,0,0,0,0,1,0,1
510,6,5,1,0,0,0,0,0,1,0,1
511,6,5,1,0,0,0,0,0,1,0,1
512,6,5,1,0,0,0,0,0,1,0,1
513,6,5,1,0,0,0,0,0,1,0,1
514,6,5,1,0,0,0,0,0,1,0,1
515,6,5,1,0,0,0,0,0,1,0,1
516,6,5,1,0,0,0,0,0,1,0,1
517,13,5,1,0,0,0,0,0,1,0,1
518,6,5,1,0,0,0,0,0,1,0,1
519,16,5,1,0,0,0,0,0,1,0,1
520,10,5,1,0,0,0,0,0,1,0,1
521,10,5,1,0,0,0,0,0,1,0,1
522,10,5,1,0,0,0,0,0,1,0,1
523,10,5,1,0,0,0,0,0,1,0,1
524,10,5,1,0,0,0,0,0,1,0,1
525,13,5,1,0,0,0,0,0,1,0,1
526,6,5,1,0,0,0,0,0,1,0,1
527,10,5,1,0,0,0,0,0,1,0,1
528,10,5,1,0,0,0,0,0,1,0,1
529,1,5,1,0,0,0,0,0,1,0,1
530,10,5,1,0,0,0,0,0,1,0,1
531,1,5,1,0,0,0,0,0,1,0,1
532,6,5,1,0,0,0,0,0,1,0,1
533,6,5,1,0,0,0,0,0,1,0,1
534,6,5,1,0,0,0,0,0,1,0,1
535,10,5,1,0,0,0,0,0,1,0,1
536,10,5,1,0,0,0,0,0,1,0,1
537,4,5,1,0,0,0,0,0,1,0,1
538,19,5,1,0,0,0,0,0,1,0,1
539,16,5,1,0,0,0,0,0,1,0,1
540,10,5,1,0,0,0,0,0,1,0,1
541,10,5,1,0,0,0,0,0,1,0,1
553,7,1,1,1,0,1,0,1,0,1,0
554,2,1,1,1,0,0,1,1,0,1,0
555,4,1,1,1,0,1,0,0,1,1,0
556,6,1,1,0,1,1,0,0,1,1,0
557,5,1,2,0,1,1,0,1,0,1,0
558,12,1,1,0,1,1,0,1,0,1,0
559,12,1,1,1,0,1,0,1,0,1,0
560,2,1,1,1,0,1,0,1,0,1,0
561,1,1,1,0,1,1,0,1,0,1,0
562,8,1,5,0,1,1,0,1,0,1,0
563,5,3,2,0,1,0,1,0,1,1,0
564,5,3,1,0,1,1,0,1,0,1,0
565,2,3,5,0,1,1,0,1,0,1,0
566,8,3,1,0,1,1,0,1,0,1,0
567,3,1,1,0,1,1,0,0,1,0,1
569,5,1,1,0,1,1,0,1,0,0,1
570,12,1,1,0,1,1,0,1,0,0,1
571,5,3,1,0,1,1,0,1,0,0,1
572,5,1,3,0,1,1,0,1,0,0,1
573,5,3,5,0,1,1,0,0,1,0,1
574,12,1,1,0,1,1,0,1,0,0,1
575,5,1,2,0,1,1,0,1,0,0,1
576,7,1,1,1,0,1,0,1,0,0,1
577,16,1,1,0,1,1,0,1,0,0,1
578,11,1,1,0,1,1,0,1,0,0,1
579,14,1,1,0,1,1,0,1,0,0,1
580,4,1,1,0,1,1,0,1,0,0,1
581,7,1,1,1,0,1,0,1,0,0,1
582,6,1,1,0,1,1,0,0,1,0,1
583,5,1,1,0,1,1,0,1,0,0,1
584,5,3,5,0,1,1,0,1,0,0,1
585,16,1,1,0,1,1,0,1,0,0,1
586,6,1,1,0,1,1,0,0,1,0,1
587,8,1,1,0,1,1,0,1,0,0,1
588,6,1,1,0,1,1,0,0,1,0,1
589,11,1,1,1,0,1,0,0,1,0,1
590,5,1,1,0,1,1,0,1,0,0,1
592,8,1,5,0,1,0,1,1,0,0,1
593,5,3,5,0,1,0,1,1,0,0,1
595,5,1,1,0,1,1,0,1,0,0,1
596,5,1,1,0,1,1,0,1,0,0,1
597,7,1,1,1,0,1,0,0,1,0,1
598,14,1,1,0,1,1,0,1,0,0,1
599,2,1,5,0,1,1,0,1,0,0,1
600,5,1,1,0,1,1,0,1,0,0,1
601,12,1,5,0,1,1,0,1,0,0,1
603,15,4,1,0,1,1,0,0,1,0,1
604,10,1,1,1,0,1,0,0,1,0,1
605,12,1,2,0,1,1,0,1,0,0,1
606,5,3,2,0,1,1,0,1,0,0,1
607,7,1,1,1,0,1,0,1,0,0,1
608,16,1,1,1,0,1,0,1,0,0,1
609,12,1,1,0,1,1,0,1,0,0,1
610,5,1,5,0,1,0,1,1,0,0,1
613,7,1,5,1,0,1,0,1,0,0,1
614,16,1,1,0,1,1,0,1,0,0,1
615,5,1,1,1,0,1,0,1,0,0,1
616,5,3,5,0,1,1,0,1,0,0,1
617,16,1,1,0,1,1,0,1,0,0,1
618,5,3,2,0,1,1,0,1,0,0,1
619,5,3,5,0,1,1,0,0,1,0,1
620,5,1,5,1,0,1,0,1,0,0,1
621,14,1,1,0,1,1,0,1,0,0,1
622,12,1,1,1,0,1,0,0,1,0,1
623,1,1,5,1,0,1,0,1,0,0,1
624,3,1,1,0,1,1,0,0,1,0,1
625,16,1,1,1,0,1,0,1,0,0,1
626,8,1,1,0,1,1,0,1,0,0,1
627,8,1,1,0,1,1,0,1,0,0,1
628,11,1,1,0,1,1,0,1,0,0,1
629,6,1,1,0,1,1,0,0,1,0,1
630,5,1,1,0,1,1,0,1,0,0,1
631,5,1,5,0,1,0,1,1,0,0,1
632,5,1,5,0,1,0,1,1,0,0,1
635,7,1,1,1,0,1,0,0,1,0,1
636,16,1,5,0,1,0,1,1,0,0,1
637,7,1,1,1,0,1,0,0,1,0,1
638,8,1,5,0,1,0,1,0,1,0,1
639,5,1,1,0,1,1,0,1,0,0,1
640,16,1,1,0,1,1,0,1,0,0,1
641,3,1,2,0,1,1,0,0,1,0,1
642,11,1,1,0,1,1,0,0,1,0,1
643,6,1,1,0,1,1,0,1,0,0,1
645,14,1,1,0,1,1,0,1,0,0,1
646,3,1,1,0,1,1,0,0,1,0,1
647,8,1,1,0,1,1,0,1,0,0,1
648,6,1,1,0,1,1,0,1,0,0,1
649,3,1,5,0,1,0,1,1,0,0,1
650,17,1,2,0,1,1,0,0,1,0,1
651,2,1,1,0,1,1,0,0,1,0,1
652,4,1,1,0,1,1,0,0,1,0,1
653,2,1,5,0,1,0,1,1,0,0,1
654,7,1,2,1,0,1,0,1,0,0,1
655,1,1,1,0,1,0,0,1,0,0,1
657,1,1,1,0,1,0,0,0,1,0,1
659,1,1,1,0,1,0,0,1,0,0,1
660,12,1,1,1,0,0,0,1,0,0,1
661,5,1,1,0,1,0,0,1,0,0,1
662,5,1,3,0,1,0,0,1,0,0,1
664,2,1,5,1,0,0,0,1,0,0,1
667,16,1,1,1,0,0,0,1,0,0,1
668,1,1,1,1,0,0,0,1,0,0,1
669,6,1,5,0,1,0,0,0,1,0,1
670,6,1,6,0,1,0,0,0,1,0,1
671,4,1,1,1,0,0,0,1,0,0,1
672,2,1,5,1,0,0,0,1,0,0,1
673,12,1,1,1,0,0,0,0,1,0,1
674,5,1,1,1,0,0,0,1,0,0,1
675,5,1,1,1,0,0,0,1,0,0,1
676,5,1,2,1,0,0,0,0,1,0,1
677,5,1,1,1,0,0,0,1,0,0,1
680,4,1,1,1,0,0,0,1,0,0,1
681,7,1,1,1,0,0,0,1,0,0,1
682,7,1,1,1,0,0,0,1,0,0,1
683,7,1,1,1,0,0,0,1,0,0,1
684,17,1,1,0,1,0,0,0,1,0,1
685,17,1,1,0,1,0,0,1,0,0,1
688,17,1,1,0,1,0,0,0,1,0,1
689,17,1,5,0,1,0,0,0,1,0,1
690,3,1,1,0,1,0,0,1,0,0,1
691,12,1,1,0,1,0,0,1,0,0,1
692,11,1,2,0,1,0,0,1,0,0,1
693,1,1,1,0,1,0,0,0,1,0,1
694,14,1,2,0,1,0,0,1,0,0,1
695,1,1,1,0,1,0,0,1,0,0,1
696,1,1,1,0,1,0,0,1,0,0,1
697,12,1,1,0,1,0,0,1,0,0,1
698,12,1,1,0,1,0,0,1,0,0,1
699,12,1,1,1,0,0,0,1,0,0,1
